_id,type,model
ObjectId(6aab704c2021a88c01ad89a4),smart phone,c3
ObjectId(6aab704c2021a88c01ad89a5),smart phone,pk2
ObjectId(6aab704c2021a88c01ad89a6),smart phone,c3
ObjectId(6aab704c2021a88c01ad89a7),smart phone,c12
ObjectId(6aab704c2021a88c01ad89a8),smart phone,platina
ObjectId(6aab704c2021a88c01ad89a9),smart phone,xm23
ObjectId(6aab704c2021a88c01ad89aa),smart phone,bn20
ObjectId(6aab704c2021a88c01ad89ab),smart phone,pk2
ObjectId(6aab704c2021a88c01ad89ac),smart phone,xm23
ObjectId(6aab704c2021a88c01ad89ad),smart phone,pk2
ObjectId(6aab704c2021a88c01ad89ae),smart phone,c12
ObjectId(6aab704c2021a88c01ad89af),smart phone,bn20
ObjectId(6aab704c2021a88c01ad89b0),smart phone,c12
ObjectId(6aab704c2021a88c01ad89b1),smart phone,c3
ObjectId(6aab704c2021a88c01ad89b2),smart phone,cz
ObjectId(6aab704c2021a88c01ad89b3),laptop,c6
ObjectId(6aab704c2021a88c01ad89b4),laptop,qw2
ObjectId(6aab704c2021a88c01ad89b5),laptop,k12
ObjectId(6aab704c2021a88c01ad89b6),laptop,ay9
ObjectId(6aab704c2021a88c01ad89b7),laptop,zeta
ObjectId(6aab704c2021a88c01ad89b8),smart phone,k9
ObjectId(6aab704c2021a88c01ad89b9),smart phone,cz
ObjectId(6aab704c2021a88c01ad89ba),smart phone,platina
ObjectId(6aab704c2021a88c01ad89bb),smart phone,platina
ObjectId(6aab704c2021a88c01ad89bc),smart phone,cz
ObjectId(6aab704c2021a88c01ad89bd),laptop,zeta
ObjectId(6aab704c2021a88c01ad89be),smart phone,xm23
ObjectId(6aab704c2021a88c01ad89bf),laptop,qw2
ObjectId(6aab704c2021a88c01ad89c0),laptop,jl3
ObjectId(6aab704c2021a88c01ad89c1),smart phone,k9
ObjectId(6aab704c2021a88c01ad89c2),laptop,ki2
ObjectId(6aab704c2021a88c01ad89c3),laptop,zeta
ObjectId(6aab704c2021a88c01ad89c4),laptop,qw2
ObjectId(6aab704c2021a88c01ad89c5),laptop,ki2
ObjectId(6aab704c2021a88c01ad89c6),laptop,jl3
ObjectId(6aab704c2021a88c01ad89c7),laptop,ay9
ObjectId(6aab704c2021a88c01ad89c8),laptop,ki2
ObjectId(6aab704c2021a88c01ad89c9),laptop,j3
ObjectId(6aab704c2021a88c01ad89ca),laptop,ki2
ObjectId(6aab704c2021a88c01ad89cb),laptop,kz
ObjectId(6aab704c2021a88c01ad89cc),laptop,ay9
ObjectId(6aab704c2021a88c01ad89cd),smart phone,bn20
ObjectId(6aab704c2021a88c01ad89ce),smart phone,k9
ObjectId(6aab704c2021a88c01ad89cf),laptop,ki2
ObjectId(6aab704c2021a88c01ad89d0),laptop,qw2
ObjectId(6aab704c2021a88c01ad89d1),laptop,k12
ObjectId(6aab704c2021a88c01ad89d2),laptop,kz
ObjectId(6aab704c2021a88c01ad89d3),laptop,j3
ObjectId(6aab704c2021a88c01ad89d4),laptop,c6
ObjectId(6aab704c2021a88c01ad89d5),laptop,ay9
ObjectId(6aab704c2021a88c01ad89d6),laptop,k12
ObjectId(6aab704c2021a88c01ad89d7),laptop,ay9
ObjectId(6aab704c2021a88c01ad89d8),laptop,qw2
ObjectId(6aab704c2021a88c01ad89d9),laptop,c6
ObjectId(6aab704c2021a88c01ad89da),laptop,c6
ObjectId(6aab704c2021a88c01ad89db),laptop,qw2
ObjectId(6aab704c2021a88c01ad89dc),laptop,k12
ObjectId(6aab704c2021a88c01ad89dd),laptop,jl3
ObjectId(6aab704c2021a88c01ad89de),laptop,jl3
ObjectId(6aab704c2021a88c01ad89df),laptop,k12
ObjectId(6aab704c2021a88c01ad89e0),laptop,zeta
ObjectId(6aab704c2021a88c01ad89e1),laptop,k12
ObjectId(6aab704c2021a88c01ad89e2),laptop,k12
ObjectId(6aab704c2021a88c01ad89e3),laptop,qw2
ObjectId(6aab704c2021a88c01ad89e4),laptop,k12
ObjectId(6aab704c2021a88c01ad89e5),laptop,j3
ObjectId(6aab704c2021a88c01ad89e6),laptop,k12
ObjectId(6aab704c2021a88c01ad89e7),laptop,qw2
ObjectId(6aab704c2021a88c01ad89e8),laptop,zeta
ObjectId(6aab704c2021a88c01ad89e9),laptop,jl3
ObjectId(6aab704c2021a88c01ad89ea),laptop,zeta
ObjectId(6aab704c2021a88c01ad89eb),laptop,jl3
ObjectId(6aab704c2021a88c01ad89ec),laptop,kz
ObjectId(6aab704c2021a88c01ad89ed),laptop,kz
ObjectId(6aab704c2021a88c01ad89ee),laptop,ki2
ObjectId(6aab704c2021a88c01ad89ef),laptop,qw2
ObjectId(6aab704c2021a88c01ad89f0),laptop,ay9
ObjectId(6aab704c2021a88c01ad89f1),laptop,ay9
ObjectId(6aab704c2021a88c01ad89f2),laptop,ay9
ObjectId(6aab704c2021a88c01ad89f3),laptop,k12
ObjectId(6aab704c2021a88c01ad89f4),laptop,j3
ObjectId(6aab704c2021a88c01ad89f5),laptop,ay9
ObjectId(6aab704c2021a88c01ad89f6),laptop,ki2
ObjectId(6aab704c2021a88c01ad89f7),laptop,c6
ObjectId(6aab704c2021a88c01ad89f8),laptop,jl3
ObjectId(6aab704c2021a88c01ad89f9),laptop,k12
ObjectId(6aab704c2021a88c01ad89fa),laptop,ki2
